FULL_ADDRESS,Middle_School,High_School,UNITCOUNT,ZIP5,CITY,STATE,STATUS,ADDRESS_TYPE,OBJECTID,Longitude,Latitude
1000 WILSON BLVD,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,74,-77.06883863299998,38.893961051000076
1001 19th ST N,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,75,-77.06924099299994,38.89727589000006
1001 WILSON BLVD,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,109,-77.06875980499996,38.894734809000056
1004 N ROOSEVELT ST,Williamsburg Middle School,Yorktown High School,1.0,22046,FALLS CHURCH,VA,VERIFIED,Standard,140,-77.15410316799995,38.87907394900003
1006 N ROOSEVELT ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,180,-77.15422784399993,38.87916786400007
1008 N ROOSEVELT ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,209,-77.15430674099997,38.87929379500008
1010 N ROOSEVELT ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,271,-77.15434067599995,38.87942500500003
1011 N SYCAMORE ST,Williamsburg Middle School,Yorktown High School,1.0,22046,FALLS CHURCH,VA,VERIFIED,Standard,285,-77.15471105099994,38.87954007900004
1011 ARLINGTON BLVD,Dorothy Hamm Middle School,Yorktown High School,385.0,22209,ARLINGTON,VA,VERIFIED,Standard,291,-77.06889257499995,38.89209732300003
1021 ARLINGTON BLVD,Dorothy Hamm Middle School,Yorktown High School,465.0,22209,ARLINGTON,VA,VERIFIED,Standard,503,-77.06894772599998,38.893010539000045
1100 N ROOSEVELT ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,1071,-77.15443858099997,38.87977377500005
1100 WILSON BLVD,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,1091,-77.07012455899996,38.89466188100005
1101 WILSON BLVD,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,1127,-77.06980415199996,38.89527559700008
1104 N ROOSEVELT ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,1158,-77.15450180599998,38.879907435000064
1105 N SYCAMORE ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,1183,-77.15501679599998,38.879888867000034
1108 N ROOSEVELT ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,1246,-77.15453618899994,38.88004101100006
1108 N SYCAMORE ST,Williamsburg Middle School,Yorktown High School,1.0,22046,FALLS CHURCH,VA,VERIFIED,Standard,1248,-77.15541595299999,38.88008802100006
1109 N SYCAMORE ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,1270,-77.15503896399997,38.88001818400005
111 CHAIN BRIDGE RD,Williamsburg Middle School,Yorktown High School,1.0,22101,MCLEAN,VA,VERIFIED,Standard,1299,-77.11734539999998,38.93002793100004
1111 ARLINGTON BLVD,Dorothy Hamm Middle School,Yorktown High School,414.0,22209,ARLINGTON,VA,VERIFIED,Standard,1349,-77.07002417699994,38.89263590500008
